donor_code,donor_name,donor_type,country_code,country_name,sector,recent_avg,active_years,active_share,sector_share,disburse_pctile_within_cs,disbursement_strong,persistence_strong,embeddedness_strong,n_strong,priority,cs_context
AUS,Australia,Bilateral (DAC),BLZ,Belize,Other Multisector,0.0,9,0.391304347826087,0.22332550420240901,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
DEU,Germany,Bilateral (DAC),BLZ,Belize,Other Multisector,0.0,5,0.21739130434782608,0.11709927112563691,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
EST,Estonia,Bilateral (DAC),BLZ,Belize,Other Multisector,0.0,1,0.043478260869565216,1.0,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
IRL,Ireland,Bilateral (DAC),BLZ,Belize,Other Multisector,0.0,1,0.043478260869565216,0.9005442483575937,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
ITA,Italy,Bilateral (DAC),BLZ,Belize,Other Multisector,0.0,1,0.043478260869565216,0.12183580023594873,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
KOR,Korea,Bilateral (DAC),BLZ,Belize,Other Multisector,0.0,1,0.043478260869565216,0.00019856515868638784,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
MLT,Malta,Bilateral (Non-DAC),BLZ,Belize,Other Multisector,0.0,1,0.043478260869565216,0.039631650750341064,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
NZL,New Zealand,Bilateral (DAC),BLZ,Belize,Other Multisector,0.0,1,0.043478260869565216,0.12766351749917199,,False,False,False,0,Peripheral / not assessed,Fragmented coordination space
1UN006,ILO,UN Agency,BLZ,Belize,Other Social Infrastructure,0.34951569321652975,13,0.5652173913043478,0.8814995035914163,100.0,True,True,True,3,High,Thin / emerging space
1UN007,Joint SDG Fund,UN Agency,BLZ,Belize,Other Social Infrastructure,0.33254266666666665,2,0.08695652173913043,0.8030478901265553,87.5,True,False,True,2,High,Thin / emerging space
1UN019,UNICEF,UN Agency,BLZ,Belize,Other Social Infrastructure,0.3279236078718096,19,0.8260869565217391,0.19537020949827255,75.0,True,True,True,3,High,Thin / emerging space
5IDB0,IDB Group,MDB,BLZ,Belize,Other Social Infrastructure,0.023817999999999968,8,0.34782608695652173,0.11098661760670406,25.0,False,False,False,0,Low,Thin / emerging space
1UN014,UNDP,UN Agency,BLZ,Belize,Other Social Infrastructure,0.020338523829123434,3,0.13043478260869565,0.10346357246179529,12.5,False,False,False,0,Low,Thin / emerging space
KOR,Korea,Bilateral (DAC),BLZ,Belize,Other Social Infrastructure,0.31311005635535516,4,0.17391304347826086,0.2211434704704478,62.5,False,False,True,1,Medium,Thin / emerging space
JPN,Japan,Bilateral (DAC),BLZ,Belize,Other Social Infrastructure,0.12321402230396662,15,0.6521739130434783,0.06491244773688822,50.0,False,True,False,1,Medium,Thin / emerging space
CAN,Canada,Bilateral (DAC),BLZ,Belize,Other Social Infrastructure,0.06332176937234203,12,0.5217391304347826,0.034950515577602294,37.5,False,True,False,1,Medium,Thin / emerging space
AUS,Australia,Bilateral (DAC),BLZ,Belize,Other Social Infrastructure,0.0,1,0.043478260869565216,0.06656291811546527,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
CZE,Czech Republic,Bilateral (DAC),BLZ,Belize,Other Social Infrastructure,0.0,2,0.08695652173913043,0.7238879795672428,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
DEU,Germany,Bilateral (DAC),BLZ,Belize,Other Social Infrastructure,0.0,1,0.043478260869565216,0.004762551491827269,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
ESP,Spain,Bilateral (DAC),BLZ,Belize,Other Social Infrastructure,0.0,1,0.043478260869565216,0.1310960146319721,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
GBR,United Kingdom,Bilateral (DAC),BLZ,Belize,Other Social Infrastructure,0.0,2,0.08695652173913043,0.024345664510743152,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
NOR,Norway,Bilateral (DAC),BLZ,Belize,Other Social Infrastructure,0.0,2,0.08695652173913043,0.11786449730406237,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
USA,United States,Bilateral (DAC),BLZ,Belize,Other Social Infrastructure,0.0,7,0.30434782608695654,0.0069729582157090925,,False,False,False,0,Peripheral / not assessed,Thin / emerging space
9OTH012,Global Fund (GFATM),Vertical Fund,BLZ,Belize,Population & Reproductive Health,1.1230366666666667,17,0.7391304347826086,0.765766050725627,100.0,True,True,True,3,High,Thin / emerging space
1UN026,WHO,UN Agency,BLZ,Belize,Population & Reproductive Health,0.005790097485798129,7,0.30434782608695654,0.10346747157912568,42.857142857142854,False,False,False,0,Low,Thin / emerging space
1UN014,UNDP,UN Agency,BLZ,Belize,Population & Reproductive Health,0.002240862248403333,4,0.17391304347826086,0.04159457427191089,28.57142857142857,False,False,False,0,Low,Thin / emerging space
5IDB0,IDB Group,MDB,BLZ,Belize,Population & Reproductive Health,0.03568933333333333,1,0.043478260869565216,0.004880530299784208,85.71428571428571,True,False,False,1,Medium,Thin / emerging space
CAN,Canada,Bilateral (DAC),BLZ,Belize,Population & Reproductive Health,0.010394351529095099,8,0.34782608695652173,0.006949029977839577,71.42857142857143,True,False,False,1,Medium,Thin / emerging space
1UN019,UNICEF,UN Agency,BLZ,Belize,Population & Reproductive Health,0.009707365954847768,12,0.5217391304347826,0.0410019017892493,57.14285714285714,False,True,False,1,Medium,Thin / emerging space
1UN013,UNAIDS,UN Agency,BLZ,Belize,Population & Reproductive Health,0.0013333333333333333,7,0.30434782608695654,1.0,14.285714285714285,False,False,True,1,Medium,Thin / emerging space
